label	idx	zh	ja	emotion	speed
ch1	19	你來了。坐吧，小客人。茶剛剛好——再晚一點，就要重新煮了。	あら、来たのね。お座りなさい、小さなお客様。お茶はちょうど良い頃よ——もう少し遅かったら、淹れ直させるところだったわ。	calm	0.85
c1_polite	3	哎呀，還會問安。	あら、ご挨拶までできるのね。	happy	0.9
c1_polite	4	這年頭，懂禮數的孩子可不多了。我很中意你。	近頃、礼儀を知っている子は少ないのよ。……気に入ったわ、あなた。	calm	0.85
c1_blunt	3	真是一根帶刺的舌頭。	あら。棘のある舌だこと。	calm	0.85
c1_blunt	4	問問題不是壞事，小客人。只是有些問題，問出口之前，最好先想清楚——自己想不想聽到答案。	問うことは悪いことではないわ、小さなお客様。ただ、口にする前によく考えておいたほうがいい問いもあるの——その答えを、自分が聞きたいのかどうか。	calm	0.85
c1_quiet	3	不說話。	黙っているのね。	calm	0.85
c1_quiet	4	我喜歡安靜的孩子。在我的故事書裡，乖孩子總是能活到……比較後面的章節。	静かな子は好きよ。わたしの物語では、いい子はいつも……もう少し後の章まで、生きていられるの。	calm	0.85
c1_join	1	喝吧。別擔心，只是茶。	お飲みなさい。心配いらないわ——ただのお茶よ。	calm	0.85
c1_join	2	朋友之間，小小的禮尚往來。在我家，一杯茶，是規矩，也是禮貌。	友達同士の、ささやかなやり取り。この家では、一杯のお茶が決まりであり、礼儀でもあるの。	calm	0.85
c2_deep	8	噢……好孩子。	まあ……いい子ね。	happy	0.85
c2_deep	9	敢一口飲盡的客人，一百年遇不上一個。大膽的孩子，總能寫成最好看的章節。	一息に飲み干す客なんて、百年に一人も来ないわ。大胆な子は、いつだって一番美しい章になるのよ。	happy	0.9
c2_sip	6	謹慎的禮貌。	慎重な礼儀ね。	calm	0.85
c2_sip	7	明智。雖然……有點無趣。但，明智。	賢明だわ。少し……退屈だけれど。でも、賢明。	calm	0.85
c2_refuse	6	…………	……。	calm	0.8
c2_refuse	7	這杯茶，不會忘記的。我，也不會。	このお茶は、忘れないわ。わたしも、忘れない。	calm	0.8
ch1_out	4	那麼——	さて——	calm	0.85
ch1_out	6	照你們凡人的說法：該談正事了。	あなたたち人間の言い方をするなら——本題に入りましょうか。	calm	0.85
ch2	11	你知道嗎，小客人。我這裡什麼都有。願望、名字、走失的東西、還沒發生的事。	知っているかしら、小さなお客様。ここには何でもあるのよ。願いも、名前も、失くしたものも、まだ起きていないことも。	calm	0.85
ch2	15	我能實現願望。任何願望。只是——	願いを叶えてあげられるわ。どんな願いでも。ただ——	calm	0.85
ch2	17	只要交易公道。	取引が、公平でありさえすれば。	calm	0.85
